 # IDSA ray
 # dr [km]   dr[km]  Rin[km]  R[km]  Rout[km]
   0.4882812E+00   0.4882812E+00   0.4589844E+02   0.4614258E+02   0.4638672E+02
   0.4882812E+00   0.4882812E+00   0.4638672E+02   0.4663086E+02   0.4687500E+02
   0.4882812E+00   0.4882812E+00   0.4687500E+02   0.4711914E+02   0.4736328E+02
   0.4882812E+00   0.4882812E+00   0.4736328E+02   0.4760742E+02   0.4785156E+02
   0.4882812E+00   0.4882812E+00   0.4785156E+02   0.4809570E+02   0.4833984E+02
   0.4882812E+00   0.4882812E+00   0.4833984E+02   0.4858398E+02   0.4882812E+02
   0.4882812E+00   0.4882812E+00   0.4882812E+02   0.4907227E+02   0.4931641E+02
   0.4882812E+00   0.4882812E+00   0.4931641E+02   0.4956055E+02   0.4980469E+02
   0.4882812E+00   0.4882812E+00   0.4980469E+02   0.5004883E+02   0.5029297E+02
   0.4882812E+00   0.4882812E+00   0.5029297E+02   0.5053711E+02   0.5078125E+02
   0.4882812E+00   0.4882812E+00   0.5078125E+02   0.5102539E+02   0.5126953E+02
   0.4882812E+00   0.4882812E+00   0.5126953E+02   0.5151367E+02   0.5175781E+02
   0.4882812E+00   0.4882812E+00   0.5175781E+02   0.5200195E+02   0.5224609E+02
   0.4882812E+00   0.4882812E+00   0.5224609E+02   0.5249023E+02   0.5273438E+02
   0.4882812E+00   0.4882812E+00   0.5273438E+02   0.5297852E+02   0.5322266E+02
   0.4882812E+00   0.4882812E+00   0.5322266E+02   0.5346680E+02   0.5371094E+02
   0.4882812E+00   0.4882812E+00   0.5371094E+02   0.5395508E+02   0.5419922E+02
   0.4882812E+00   0.4882812E+00   0.5419922E+02   0.5444336E+02   0.5468750E+02
   0.4882812E+00   0.4882812E+00   0.5468750E+02   0.5493164E+02   0.5517578E+02
   0.4882812E+00   0.4882812E+00   0.5517578E+02   0.5541992E+02   0.5566406E+02
   0.4882812E+00   0.4882812E+00   0.5566406E+02   0.5590820E+02   0.5615234E+02
   0.4882812E+00   0.4882812E+00   0.5615234E+02   0.5639648E+02   0.5664062E+02
   0.4882812E+00   0.4882812E+00   0.5664062E+02   0.5688477E+02   0.5712891E+02
   0.4882812E+00   0.4882812E+00   0.5712891E+02   0.5737305E+02   0.5761719E+02
   0.4882812E+00   0.4882812E+00   0.5761719E+02   0.5786133E+02   0.5810547E+02
   0.4882812E+00   0.4882812E+00   0.5810547E+02   0.5834961E+02   0.5859375E+02
   0.4882812E+00   0.4882812E+00   0.5859375E+02   0.5883789E+02   0.5908203E+02
   0.4882812E+00   0.4882812E+00   0.5908203E+02   0.5932617E+02   0.5957031E+02
   0.4882812E+00   0.4882812E+00   0.5957031E+02   0.5981445E+02   0.6005859E+02
   0.4882812E+00   0.4882812E+00   0.6005859E+02   0.6030273E+02   0.6054688E+02
   0.4882812E+00   0.4882812E+00   0.6054688E+02   0.6079102E+02   0.6103516E+02
   0.4882812E+00   0.4882812E+00   0.6103516E+02   0.6127930E+02   0.6152344E+02
   0.4882812E+00   0.4882812E+00   0.6152344E+02   0.6176758E+02   0.6201172E+02
   0.4882812E+00   0.4882812E+00   0.6201172E+02   0.6225586E+02   0.6250000E+02
   0.4882812E+00   0.4882812E+00   0.6250000E+02   0.6274414E+02   0.6298828E+02
   0.4882812E+00   0.4882812E+00   0.6298828E+02   0.6323242E+02   0.6347656E+02
   0.4882812E+00   0.4882812E+00   0.6347656E+02   0.6372070E+02   0.6396484E+02
   0.4882812E+00   0.4882812E+00   0.6396484E+02   0.6420898E+02   0.6445312E+02
   0.4882812E+00   0.4882812E+00   0.6445312E+02   0.6469727E+02   0.6494141E+02
   0.4882812E+00   0.4882812E+00   0.6494141E+02   0.6518555E+02   0.6542969E+02
   0.4882812E+00   0.4882812E+00   0.6542969E+02   0.6567383E+02   0.6591797E+02
   0.4882812E+00   0.4882812E+00   0.6591797E+02   0.6616211E+02   0.6640625E+02
   0.4882812E+00   0.4882812E+00   0.6640625E+02   0.6665039E+02   0.6689453E+02
   0.4882812E+00   0.4882812E+00   0.6689453E+02   0.6713867E+02   0.6738281E+02
   0.4882812E+00   0.4882812E+00   0.6738281E+02   0.6762695E+02   0.6787109E+02
   0.4882812E+00   0.4882812E+00   0.6787109E+02   0.6811523E+02   0.6835938E+02
   0.4882812E+00   0.4882812E+00   0.6835938E+02   0.6860352E+02   0.6884766E+02
   0.4882812E+00   0.4882812E+00   0.6884766E+02   0.6909180E+02   0.6933594E+02
   0.4882812E+00   0.4882812E+00   0.6933594E+02   0.6958008E+02   0.6982422E+02
   0.4882812E+00   0.4882812E+00   0.6982422E+02   0.7006836E+02   0.7031250E+02
   0.4882812E+00   0.4882812E+00   0.7031250E+02   0.7055664E+02   0.7080078E+02
   0.4882812E+00   0.4882812E+00   0.7080078E+02   0.7104492E+02   0.7128906E+02
   0.4882812E+00   0.4882812E+00   0.7128906E+02   0.7153320E+02   0.7177734E+02
   0.4882812E+00   0.4882812E+00   0.7177734E+02   0.7202148E+02   0.7226562E+02
   0.4882812E+00   0.4882812E+00   0.7226562E+02   0.7250977E+02   0.7275391E+02
   0.4882812E+00   0.4882812E+00   0.7275391E+02   0.7299805E+02   0.7324219E+02
   0.4882812E+00   0.4882812E+00   0.7324219E+02   0.7348633E+02   0.7373047E+02
   0.4882812E+00   0.4882812E+00   0.7373047E+02   0.7397461E+02   0.7421875E+02
   0.4882812E+00   0.4882812E+00   0.7421875E+02   0.7446289E+02   0.7470703E+02
   0.4882812E+00   0.4882812E+00   0.7470703E+02   0.7495117E+02   0.7519531E+02
   0.4882812E+00   0.4882812E+00   0.7519531E+02   0.7543945E+02   0.7568359E+02
   0.4882812E+00   0.4882812E+00   0.7568359E+02   0.7592773E+02   0.7617188E+02
   0.4882812E+00   0.4882812E+00   0.7617188E+02   0.7641602E+02   0.7666016E+02
   0.4882812E+00   0.4882812E+00   0.7666016E+02   0.7690430E+02   0.7714844E+02
   0.4882812E+00   0.4882812E+00   0.7714844E+02   0.7739258E+02   0.7763672E+02
   0.4882812E+00   0.4882812E+00   0.7763672E+02   0.7788086E+02   0.7812500E+02
   0.4882812E+00   0.4882812E+00   0.7812500E+02   0.7836914E+02   0.7861328E+02
   0.4882812E+00   0.4882812E+00   0.7861328E+02   0.7885742E+02   0.7910156E+02
   0.4882812E+00   0.4882812E+00   0.7910156E+02   0.7934570E+02   0.7958984E+02
   0.4882812E+00   0.4882812E+00   0.7958984E+02   0.7983398E+02   0.8007812E+02
   0.4882812E+00   0.4882812E+00   0.8007812E+02   0.8032227E+02   0.8056641E+02
   0.4882812E+00   0.4882812E+00   0.8056641E+02   0.8081055E+02   0.8105469E+02
   0.4882812E+00   0.4882812E+00   0.8105469E+02   0.8129883E+02   0.8154297E+02
   0.4882812E+00   0.4882812E+00   0.8154297E+02   0.8178711E+02   0.8203125E+02
   0.4882812E+00   0.4882812E+00   0.8203125E+02   0.8227539E+02   0.8251953E+02
   0.4882812E+00   0.4882812E+00   0.8251953E+02   0.8276367E+02   0.8300781E+02
   0.4882812E+00   0.4882812E+00   0.8300781E+02   0.8325195E+02   0.8349609E+02
   0.4882812E+00   0.4882812E+00   0.8349609E+02   0.8374023E+02   0.8398438E+02
   0.4882812E+00   0.4882812E+00   0.8398438E+02   0.8422852E+02   0.8447266E+02
   0.4882812E+00   0.4882812E+00   0.8447266E+02   0.8471680E+02   0.8496094E+02
   0.4882812E+00   0.4882812E+00   0.8496094E+02   0.8520508E+02   0.8544922E+02
   0.4882812E+00   0.4882812E+00   0.8544922E+02   0.8569336E+02   0.8593750E+02
   0.4882812E+00   0.4882812E+00   0.8593750E+02   0.8618164E+02   0.8642578E+02
   0.4882812E+00   0.4882812E+00   0.8642578E+02   0.8666992E+02   0.8691406E+02
   0.4882812E+00   0.4882812E+00   0.8691406E+02   0.8715820E+02   0.8740234E+02
   0.4882812E+00   0.4882812E+00   0.8740234E+02   0.8764648E+02   0.8789062E+02
   0.4882812E+00   0.4882812E+00   0.8789062E+02   0.8813477E+02   0.8837891E+02
   0.4882812E+00   0.4882812E+00   0.8837891E+02   0.8862305E+02   0.8886719E+02
   0.4882812E+00   0.4882812E+00   0.8886719E+02   0.8911133E+02   0.8935547E+02
   0.4882812E+00   0.4882812E+00   0.8935547E+02   0.8959961E+02   0.8984375E+02
   0.4882812E+00   0.4882812E+00   0.8984375E+02   0.9008789E+02   0.9033203E+02
   0.4882812E+00   0.4882812E+00   0.9033203E+02   0.9057617E+02   0.9082031E+02
   0.4882812E+00   0.4882812E+00   0.9082031E+02   0.9106445E+02   0.9130859E+02
   0.4882812E+00   0.4882812E+00   0.9130859E+02   0.9155273E+02   0.9179688E+02
   0.4882812E+00   0.4882812E+00   0.9179688E+02   0.9204102E+02   0.9228516E+02
   0.4882812E+00   0.4882812E+00   0.9228516E+02   0.9252930E+02   0.9277344E+02
   0.4882812E+00   0.4882812E+00   0.9277344E+02   0.9301758E+02   0.9326172E+02
   0.4882812E+00   0.4882812E+00   0.9326172E+02   0.9350586E+02   0.9375000E+02
   0.4882812E+00   0.4882812E+00   0.9375000E+02   0.9399414E+02   0.9423828E+02
   0.4882812E+00   0.4882812E+00   0.9423828E+02   0.9448242E+02   0.9472656E+02
   0.4882812E+00   0.4882812E+00   0.9472656E+02   0.9497070E+02   0.9521484E+02
   0.4882812E+00   0.4882812E+00   0.9521484E+02   0.9545898E+02   0.9570312E+02
   0.4882812E+00   0.4882812E+00   0.9570312E+02   0.9594727E+02   0.9619141E+02
   0.4882812E+00   0.4882812E+00   0.9619141E+02   0.9643555E+02   0.9667969E+02
   0.4882812E+00   0.4882812E+00   0.9667969E+02   0.9692383E+02   0.9716797E+02
   0.4882812E+00   0.4882812E+00   0.9716797E+02   0.9741211E+02   0.9765625E+02
   0.4882812E+00   0.4882812E+00   0.9765625E+02   0.9790039E+02   0.9814453E+02
   0.4882812E+00   0.4882812E+00   0.9814453E+02   0.9838867E+02   0.9863281E+02
   0.4882812E+00   0.4882812E+00   0.9863281E+02   0.9887695E+02   0.9912109E+02
   0.4882812E+00   0.4882812E+00   0.9912109E+02   0.9936523E+02   0.9960938E+02
   0.4882812E+00   0.4882812E+00   0.9960938E+02   0.9985352E+02   0.1000977E+03
   0.4882812E+00   0.4882812E+00   0.1000977E+03   0.1003418E+03   0.1005859E+03
   0.4882812E+00   0.4882812E+00   0.1005859E+03   0.1008301E+03   0.1010742E+03
   0.4882812E+00   0.4882812E+00   0.1010742E+03   0.1013184E+03   0.1015625E+03
   0.4882812E+00   0.4882812E+00   0.1015625E+03   0.1018066E+03   0.1020508E+03
   0.4882812E+00   0.4882812E+00   0.1020508E+03   0.1022949E+03   0.1025391E+03
   0.4882812E+00   0.4882812E+00   0.1025391E+03   0.1027832E+03   0.1030273E+03
   0.4882812E+00   0.4882812E+00   0.1030273E+03   0.1032715E+03   0.1035156E+03
   0.4882812E+00   0.4882812E+00   0.1035156E+03   0.1037598E+03   0.1040039E+03
   0.4882812E+00   0.4882812E+00   0.1040039E+03   0.1042480E+03   0.1044922E+03
   0.4882812E+00   0.4882812E+00   0.1044922E+03   0.1047363E+03   0.1049805E+03
   0.4882812E+00   0.4882812E+00   0.1049805E+03   0.1052246E+03   0.1054688E+03
   0.4882812E+00   0.4882812E+00   0.1054688E+03   0.1057129E+03   0.1059570E+03
   0.4882812E+00   0.4882812E+00   0.1059570E+03   0.1062012E+03   0.1064453E+03
   0.4882812E+00   0.4882812E+00   0.1064453E+03   0.1066895E+03   0.1069336E+03
   0.4882812E+00   0.4882812E+00   0.1069336E+03   0.1071777E+03   0.1074219E+03
